Year,Val
2005,-0.00017939
2006,-0.00018918
2007,-0.00019897
2008,-0.00020876
2009,-0.000218549
2010,-0.000228339
2011,-0.000262526
2012,-0.000296713
2013,-0.0003309
2014,-0.000365087
2015,-0.000399273
2016,-0.000530159
2017,-0.000661045
2018,-0.000791931
2019,-0.000922817
2020,-0.001053703
2021,-0.006987319
2022,-0.012920934
2023,-0.01885455
2024,-0.024788166
2025,-0.030721782
2026,-0.064303667
2027,-0.097885553
2028,-0.131467439
2029,-0.165049325
2030,-0.19863121
2031,-0.296798523
2032,-0.394965836
2033,-0.493133148
2034,-0.591300461
2035,-0.689467773
2036,-0.845588888
2037,-1.001710002
2038,-1.157831116
2039,-1.313952231
2040,-1.470073345
2041,-1.677715072
2042,-1.885356799
2043,-2.092998526
2044,-2.300640253
2045,-2.508281979
2046,-2.730402596
2047,-2.952523213
2048,-3.17464383
2049,-3.396764447
2050,-3.618885064
2051,-3.853039824
2052,-4.087194584
2053,-4.321349343
2054,-4.555504103
2055,-4.789658863
2056,-5.006579752
2057,-5.223500642
2058,-5.440421532
2059,-5.657342421
2060,-5.874263311
2061,-6.056655439
2062,-6.239047567
2063,-6.421439696
2064,-6.603831824
2065,-6.786223952
2066,-6.971672335
2067,-7.157120718
2068,-7.342569102
2069,-7.528017485
2070,-7.713465868
2071,-7.858154683
2072,-8.002843499
2073,-8.147532314
2074,-8.292221129
2075,-8.436909945
2076,-8.57552904
2077,-8.714148136
2078,-8.852767232
2079,-8.991386328
2080,-9.130005423
2081,-9.232520524
2082,-9.335035625
2083,-9.437550726
2084,-9.540065826
2085,-9.642580927
2086,-9.746367585
2087,-9.850154242
2088,-9.9539409
2089,-10.05772756
2090,-10.16151422
2091,-10.25122964
2092,-10.34094507
2093,-10.4306605
2094,-10.52037593
2095,-10.61009135
2096,-10.7003134
2097,-10.79053545
2098,-10.88075749
2099,-10.97097954
2100,-11.06120159